collection,slug,title,country,region,city,address,lat,lon,needs_address,needs_coords,listing_url,source_path
restaurants,matatoki-cheese-barn,Matatoki Cheese Barn,New Zealand,Waikato,Matatoki,,-37.2066636,175.6062003,true,false,/restaurants/matatoki-cheese-barn/,_restaurants/matatoki-cheese-barn.md
restaurants,misters-auckland,Misters,New Zealand,Auckland,Auckland,,-36.852095,174.7631803,true,false,/restaurants/misters-auckland/,_restaurants/misters-auckland.md
restaurants,neo-cafe-wellington,Neo Cafe & Eatery,New Zealand,Wellington,Wellington,,-41.2887953,174.7772114,true,false,/restaurants/neo-cafe-wellington/,_restaurants/neo-cafe-wellington.md
restaurants,driving-creek-cafe,Driving Creek Café,New Zealand,Waikato,Coromandel,,-36.7386594,175.5022712,true,false,/restaurants/driving-creek-cafe/,_restaurants/driving-creek-cafe.md
restaurants,barefoot-eatery-christchurch,Barefoot Eatery,New Zealand,Canterbury,Christchurch,,-43.530955,172.6364343,true,false,/restaurants/barefoot-eatery-christchurch/,_restaurants/barefoot-eatery-christchurch.md
restaurants,hapi-organic-cafe-napier,Hapi Organic Cafe & Maara,New Zealand,Hawke's Bay,Napier,,-39.4902099,176.917839,true,false,/restaurants/hapi-organic-cafe-napier/,_restaurants/hapi-organic-cafe-napier.md
restaurants,kopupako-kitchen,Kopupako Kitchen,New Zealand,Wellington,Newtown,,-41.312,174.779,true,false,/restaurants/kopupako-kitchen/,_restaurants/kopupako-kitchen.md
restaurants,pepper-tree-coromandel,The Pepper Tree Restaurant,New Zealand,Waikato,Coromandel,,-36.759801,175.4973896,true,false,/restaurants/pepper-tree-coromandel/,_restaurants/pepper-tree-coromandel.md
restaurants,tairua-beach-club,Tairua Beach Club,New Zealand,Waikato,Tairua,,-36.9988813,175.8618232,true,false,/restaurants/tairua-beach-club/,_restaurants/tairua-beach-club.md
restaurants,eatery-by-franks-queenstown,Eatery by Frank’s,New Zealand,Otago,Queenstown,,-45.0321923,168.661,true,false,/restaurants/eatery-by-franks-queenstown/,_restaurants/eatery-by-franks-queenstown.md
restaurants,east-restaurant-auckland,East Restaurant,New Zealand,Auckland,Auckland,,-36.8490839,174.7592156,true,false,/restaurants/east-restaurant-auckland/,_restaurants/east-restaurant-auckland.md
restaurants,quad-eatery-christchurch,Quad Eatery,New Zealand,Canterbury,Christchurch,,-43.5311244,172.6283429,true,false,/restaurants/quad-eatery-christchurch/,_restaurants/quad-eatery-christchurch.md
restaurants,amisfield-bistro-queenstown,Amisfield Bistro,New Zealand,Otago,Queenstown,,-44.986513,168.815593,true,false,/restaurants/amisfield-bistro-queenstown/,_restaurants/amisfield-bistro-queenstown.md
restaurants,solscape-conscious-kitchen,Solscape – The Conscious Kitchen,New Zealand,Waikato,Raglan,,-37.8256107,174.8206956,true,false,/restaurants/solscape-conscious-kitchen/,_restaurants/solscape-conscious-kitchen.md
restaurants,amore-food-shop-cafe-timaru,Amore Food Shop & Cafe,New Zealand,Canterbury,Timaru,,-44.3930254,171.2509786,true,false,/restaurants/amore-food-shop-cafe-timaru/,_restaurants/amore-food-shop-cafe-timaru.md
restaurants,greenland-cafe-wellington,GreenLand Cafe,New Zealand,Wellington,Wellington,,-41.27792445,174.7787504623986,true,false,/restaurants/greenland-cafe-wellington/,_restaurants/greenland-cafe-wellington.md
restaurants,11th-avenue-by-franks-queenstown,11th Avenue by Frank’s,New Zealand,Otago,Queenstown,,-45.0321923,168.661,true,false,/restaurants/11th-avenue-by-franks-queenstown/,_restaurants/11th-avenue-by-franks-queenstown.md
restaurants,craggy-range-restaurant,Craggy Range Restaurant,New Zealand,Hawke's Bay,Havelock North,,-39.6928384,176.9230283,true,false,/restaurants/craggy-range-restaurant/,_restaurants/craggy-range-restaurant.md
restaurants,kingi-auckland,kingi,New Zealand,Auckland,Auckland,,-36.852095,174.7631803,true,false,/restaurants/kingi-auckland/,_restaurants/kingi-auckland.md
