collection,slug,title,country,region,city,address,lat,lon,listing_url,query
markets,byron-bay-farmers-market,Byron Bay Farmers Market,AU,New South Wales,Byron Bay,Butler St Reserve,,,/markets/byron-bay-farmers-market/,"Butler St Reserve, Byron Bay, New South Wales, AU"
markets,west-coast-farmers-market-greymouth,West Coast Farmers Market,NZ,West Coast,Greymouth,,,,/markets/west-coast-farmers-market-greymouth/,"West Coast Farmers Market, Greymouth, West Coast, NZ"
markets,marlborough-farmers-market,Marlborough Farmers Market,NZ,Marlborough,Blenheim,43 Hathaway Street (A&P Showgrounds),,-41.518,/markets/marlborough-farmers-market/,"43 Hathaway Street (A&P Showgrounds), Blenheim, Marlborough, NZ"
markets,bay-of-islands-farmers-market-paihia,Bay of Islands Farmers Market – Paihia,NZ,Northland,Paihia,"Village Green, 60 Marsden Rd",,-35.2814,/markets/bay-of-islands-farmers-market-paihia/,"Village Green, 60 Marsden Rd, Paihia, Northland, NZ"
markets,coromandel-homegrown-community-market,Coromandel Town Homegrown Community Market,NZ,Waikato,Coromandel,Hike 'n' Bike lawn,,,/markets/coromandel-homegrown-community-market/,"Hike 'n' Bike lawn, Coromandel, Waikato, NZ"
markets,ohoka-farmers-market,Ohoka Farmers Market,New Zealand,Canterbury,Ohoka,"Ohoka Domain, Whites Road, Ohoka",,,/markets/ohoka-farmers-market/,"Ohoka Domain, Whites Road, Ohoka, Ohoka, Canterbury, New Zealand"
markets,jan-powers-farmers-market-manly,Jan Powers Farmers Market (Manly),AU,Queensland,Brisbane,"Manly Harbour, Royal Esplanade",,,/markets/jan-powers-farmers-market-manly/,"Manly Harbour, Royal Esplanade, Brisbane, Queensland, AU"
markets,wanaka-farmers-market,Wānaka Farmers Market,NZ,Otago,Wānaka,Ardmore Street (near Bullock Creek),,,/markets/wanaka-farmers-market/,"Ardmore Street (near Bullock Creek), Wānaka, Otago, NZ"
markets,hawke-s-bay-farmers-market-hastings,Hawke’s Bay Farmers Market (Hastings),NZ,Hawke's Bay,Hastings,"Showground Hawke’s Bay, Kenilworth Rd",,-39.6559,/markets/hawke-s-bay-farmers-market-hastings/,"Showground Hawke’s Bay, Kenilworth Rd, Hastings, Hawke's Bay, NZ"
markets,whanganui-river-markets,Whanganui River Markets,NZ,Manawatū-Whanganui,Whanganui,"Whanganui Riverbank, Taupo Quay",,-39.9464,/markets/whanganui-river-markets/,"Whanganui Riverbank, Taupo Quay, Whanganui, Manawatū-Whanganui, NZ"
markets,taranaki-farmers-market,Taranaki Farmers Market,NZ,Taranaki,New Plymouth,Currie Street (Huatoki Plaza),,-39.0583,/markets/taranaki-farmers-market/,"Currie Street (Huatoki Plaza), New Plymouth, Taranaki, NZ"
markets,motueka-sunday-market,Motueka Sunday Market,NZ,Tasman,Motueka,Decks Reserve,,,/markets/motueka-sunday-market/,"Decks Reserve, Motueka, Tasman, NZ"
markets,whangarei-growers-market,Whangarei Growers Market,NZ,Northland,Whangārei,Water Street (Sunnyside carpark),,-35.7261,/markets/whangarei-growers-market/,"Water Street (Sunnyside carpark), Whangārei, Northland, NZ"
markets,clevedon-village-farmers-market,Clevedon Village Farmers Market,NZ,Auckland,Manukau,107 Monument Road (Clevedon Showgrounds),,-36.9889,/markets/clevedon-village-farmers-market/,"107 Monument Road (Clevedon Showgrounds), Manukau, Auckland, NZ"
markets,otago-farmers-market-dunedin,Otago Farmers Market (Dunedin),NZ,Otago,Dunedin,Anzac Avenue (Dunedin Railway Station),,-45.8742,/markets/otago-farmers-market-dunedin/,"Anzac Avenue (Dunedin Railway Station), Dunedin, Otago, NZ"
