collection,slug,title,country,region,city,address,lat,lon,listing_url,query,needs,address_missing,address_incomplete,coords_missing,source_path
restaurants,sawmill-smoko-room-matakana,Sawmill Brewery & Smoko Room,New Zealand,Auckland,Matakana,,,,/restaurants/sawmill-smoko-room-matakana/,"Sawmill Brewery & Smoko Room, Matakana, Auckland, New Zealand",missing_address,true,false,true,_restaurants/sawmill-smoko-room-matakana.md
restaurants,river-valley-kitchen-taihape,River Valley Kitchen,New Zealand,Manawatū-Whanganui,Taihape,,,,/restaurants/river-valley-kitchen-taihape/,"River Valley Kitchen, Taihape, Manawatū-Whanganui, New Zealand",missing_address,true,false,true,_restaurants/river-valley-kitchen-taihape.md
restaurants,the-sanctuary-bay-of-islands,The Sanctuary (Bay of Islands),New Zealand,Northland,Paihia,,,,/restaurants/the-sanctuary-bay-of-islands/,"The Sanctuary (Bay of Islands), Paihia, Northland, New Zealand",missing_address,true,false,true,_restaurants/the-sanctuary-bay-of-islands.md
restaurants,paroa-bay-winery-sage,Paroa Bay Winery & Sage Restaurant,New Zealand,Northland,Russell,,,,/restaurants/paroa-bay-winery-sage/,"Paroa Bay Winery & Sage Restaurant, Russell, Northland, New Zealand",missing_address,true,false,true,_restaurants/paroa-bay-winery-sage.md
restaurants,toad-hall-motueka,Toad Hall Café & Store,New Zealand,Tasman,Motueka,,,,/restaurants/toad-hall-motueka/,"Toad Hall Café & Store, Motueka, Tasman, New Zealand",missing_address,true,false,true,_restaurants/toad-hall-motueka.md
restaurants,harvest-restaurant-blenheim,Harvest Restaurant,New Zealand,Marlborough,Blenheim,,,,/restaurants/harvest-restaurant-blenheim/,"Harvest Restaurant, Blenheim, Marlborough, New Zealand",missing_address,true,false,true,_restaurants/harvest-restaurant-blenheim.md
restaurants,charlottes-kitchen-paihia,Charlotte's Kitchen,New Zealand,Northland,Paihia,,,,/restaurants/charlottes-kitchen-paihia/,"Charlotte's Kitchen, Paihia, Northland, New Zealand",missing_address,true,false,true,_restaurants/charlottes-kitchen-paihia.md
restaurants,hygge-at-clifton-bay,Hygge at Clifton Bay,New Zealand,Hawke's Bay,Te Awanga,,,,/restaurants/hygge-at-clifton-bay/,"Hygge at Clifton Bay, Te Awanga, Hawke's Bay, New Zealand",missing_address,true,false,true,_restaurants/hygge-at-clifton-bay.md
stores,commonsense-organics,Commonsense Organics,New Zealand,,,,,,/stores/commonsense-organics/,"Commonsense Organics, New Zealand",missing_address,true,false,true,_stores/commonsense-organics.md
stores,riverton-organic-shop,Riverton Organic Shop,NZ,Southland,Riverton,,,,/stores/riverton-organic-shop/,"Riverton Organic Shop, Riverton, Southland, NZ",missing_address,true,false,true,_stores/riverton-organic-shop.md
