collection,slug,title,country,region,city,address,lat,lon,listing_url,notes
markets,ohoka-farmers-market,Ohoka Farmers Market,New Zealand,Canterbury,Ohoka,"Ohoka Domain, Whites Road, Ohoka",,,/markets/ohoka-farmers-market/,Coordinates missing — address can be used for lookup
markets,original-matakana-market,Original Matakana Market,New Zealand,Auckland,Matakana,"30 Matakana Valley Road, Matakana 0985",,,/markets/original-matakana-market/,Coordinates missing — address can be used for lookup
markets,otago-farmers-market-dunedin,Otago Farmers Market Dunedin,NZ,Otago,Dunedin,Anzac Avenue (Dunedin Railway Station),,-45.8742,/markets/otago-farmers-market-dunedin/,Coordinates missing — address can be used for lookup
markets,palmerston-north-farmers-market,Palmerston North Farmers Market,NZ,Manawatū-Whanganui,Palmerston North,The Square,,,/markets/palmerston-north-farmers-market/,Coordinates missing — address can be used for lookup
markets,parnell-farmers-market,Parnell Farmers Market,NZ,Auckland,Auckland,"Jubilee Building, 545 Parnell Road",,-36.8543,/markets/parnell-farmers-market/,Coordinates missing — address can be used for lookup
markets,queen-victoria-market,Queen Victoria Market,AU,Victoria,Melbourne,513 Elizabeth Street,,,/markets/queen-victoria-market/,Coordinates missing — address can be used for lookup
markets,rangitahi-farmers-market,Rangitahi Farmers Market,NZ,Waikato,Raglan,29 Rangitahi Road,,,/markets/rangitahi-farmers-market/,Coordinates missing — address can be used for lookup
markets,riccarton-sunday-market,Riccarton Sunday Market,New Zealand,Canterbury,Christchurch,"165 Racecourse Road, Riccarton Park, Christchurch",,,/markets/riccarton-sunday-market/,Coordinates missing — address can be used for lookup
markets,riverside-market-christchurch,Riverside Market Christchurch,NZ,Canterbury,Christchurch,96 Oxford Terrace,,-43.532,/markets/riverside-market-christchurch/,Coordinates missing — address can be used for lookup
markets,rotorua-farmers-market,Rotorua Farmers Market,NZ,Bay of Plenty,Rotorua,"Te Manawa, 1170 Amohau Street",,,/markets/rotorua-farmers-market/,Coordinates missing — address can be used for lookup
markets,south-christchurch-farmers-market,South Christchurch Farmers' Market,New Zealand,Canterbury,Christchurch,"Next to South Christchurch Library, 70 Colombo Street, Cashmere, Christchurch",,,/markets/south-christchurch-farmers-market/,Coordinates missing — address can be used for lookup
markets,southern-farmers-market-invercargill,Southern Farmers Market Invercargill,NZ,Southland,Invercargill,"South City Mall carpark, 249 Elles Rd",,-46.4171,/markets/southern-farmers-market-invercargill/,Coordinates missing — address can be used for lookup
markets,taranaki-farmers-market,Taranaki Farmers Market,NZ,Taranaki,New Plymouth,Currie Street (Huatoki Plaza),,-39.0583,/markets/taranaki-farmers-market/,Coordinates missing — address can be used for lookup
markets,te-awamutu-produce-market,Te Awamutu Produce Market,NZ,Waikato,Waipa,"Selwyn Park, Gorst Avenue",,-38.0065,/markets/te-awamutu-produce-market/,Coordinates missing — address can be used for lookup
markets,veg-out-st-kilda-farmers-market,Veg Out St Kilda Farmers Market,AU,Victoria,Melbourne,Chaucer Street (Peanut Farm Reserve),,,/markets/veg-out-st-kilda-farmers-market/,Coordinates missing — address can be used for lookup
markets,vegan-night-makete,Vegan Night Mākete,New Zealand,Canterbury,Christchurch,"Phillipstown Community Hub, 39 Nursery Road, Christchurch",,,/markets/vegan-night-makete/,Coordinates missing — address can be used for lookup
markets,wanaka-farmers-market,Wanaka Farmers Market,NZ,Otago,Wānaka,Ardmore Street (near Bullock Creek),,,/markets/wanaka-farmers-market/,Coordinates missing — address can be used for lookup
markets,whangarei-growers-market,Whangarei Growers Market,NZ,Northland,Whangārei,Water Street (Sunnyside carpark),,-35.7261,/markets/whangarei-growers-market/,Coordinates missing — address can be used for lookup
stores,alexandra-everest-mart,Alexandra Everest Mart,New Zealand,Otago,Alexandra,"38 Tarbert Street, Alexandra 9320",,,/stores/alexandra-everest-mart/,Coordinates missing — address can be used for lookup
stores,anitas-organic-store-blenheim,Anita’s Organic Store,New Zealand,Marlborough,Blenheim,"46B Wynen Street, Blenheim, Marlborough",,,/stores/anitas-organic-store-blenheim/,Coordinates missing — address can be used for lookup
stores,beckenham-butchery,Beckenham Butchery,New Zealand,Canterbury,Christchurch,"140 Colombo Street, Beckenham, Christchurch 8023",,,/stores/beckenham-butchery/,Coordinates missing — address can be used for lookup
stores,beetroot-groceries,BeetRoot Groceries,New Zealand,Tasman,Motueka,"211 High Street, Motueka, Tasman",,,/stores/beetroot-groceries/,Coordinates missing — address can be used for lookup
stores,bellarine-wholefoods,Bellarine Wholefoods,AU,Victoria,Bellarine Peninsula,2/80 Murradoc Road,,,/stores/bellarine-wholefoods/,Coordinates missing — address can be used for lookup
stores,benge-and-co-organics-nelson,Benge And Co Organics Nelson,NZ,Tasman,Nelson,106 Bridge Street,,,/stores/benge-and-co-organics-nelson/,Coordinates missing — address can be used for lookup
stores,bin-inn-bethlehem,Bin Inn Bethlehem,NZ,Bay of Plenty,Tauranga,229 Brookfield Terrace,,,/stores/bin-inn-bethlehem/,Coordinates missing — address can be used for lookup
stores,bin-inn-blenheim,Bin Inn Blenheim,New Zealand,Marlborough,Blenheim,"32 Maxwell Road, Blenheim Central 7201",,,/stores/bin-inn-blenheim/,Coordinates missing — address can be used for lookup
stores,bin-inn-browns-bay,Bin Inn Browns Bay,NZ,Auckland,Auckland,12 Inverness Road,,,/stores/bin-inn-browns-bay/,Coordinates missing — address can be used for lookup
stores,bin-inn-burnside-chch,Bin Inn Burnside Chch,NZ,Canterbury,Christchurch,526 Wairakei Road,,,/stores/bin-inn-burnside-chch/,Coordinates missing — address can be used for lookup
stores,bin-inn-dinsdale,Bin Inn Dinsdale,NZ,Waikato,Hamilton,47 Whatawhata Road,,,/stores/bin-inn-dinsdale/,Coordinates missing — address can be used for lookup
stores,bin-inn-dunedin,Bin Inn Dunedin,NZ,Otago,Dunedin,133 King Edward Street,,,/stores/bin-inn-dunedin/,Coordinates missing — address can be used for lookup
stores,bin-inn-feilding,Bin Inn Feilding,NZ,Manawatū-Whanganui,Manawatū,25 Fergusson Street,,,/stores/bin-inn-feilding/,Coordinates missing — address can be used for lookup
