id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
100,Tataiwhetu Farms,Farm,Organic certified operator,Certified-organic producer in Whakatane.,"359 Ruatoki Valley Road, 7 Awahou Rd, 449 Paekoa Rd, 189 Kawekawe Rd, Ngahina Road (29 Hectares B41 & B55B) Ruatoki, Whakatane; Tuinoa, 241 Reids Road, Whakatane",,Whakatane,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
101,Tavendale Farming,Farm,Organic certified operator,Certified-organic producer in Ashburton.,"Office: 689 Methven Highway, RD6, Winchmore, Ashburton",,Ashburton,,,,,,,,,"FRUIT: Blackcurrants, Redcurrants",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
102,Te Pare Farm,Farm,Organic certified operator,Certified-organic producer in Featherston.,"3 Whareroto Road, 1403 Kahutara Road, 1766 Kahutara Road,  Featherston",,Featherston,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
103,Te Taunga,Farm,Organic certified operator,Certified-organic producer in South Otago.,"41 New Haven Rd, RD1, Owaka, South Otago",,South Otago,,,,,,,,,"BEEF: Cattle ; SHEEP: Sheep, Lambs, Wool ; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
104,Terra Sancta,Farm,Organic certified operator,Certified-organic producer in Bannockburn: Sancta Vineyard.,"306 Felton Road, Bannockburn: Sancta Vineyard",,Bannockburn: Sancta Vineyard,,,,,,,,,"CROP: Grapes for Wine Production - Gamay Noir, Gewurztraminer, Lagrein , Pinot Grigio, Pinot Noir, Rielsling",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
105,Thian Agri,Farm,Organic certified operator,Certified-organic producer in Southbridge                   Production: 66 Broad Street Southbridge.,"Office: 66 Broad Street, Southbridge                   Production: 66 Broad Street Southbridge",,Southbridge                   Production: 66 Broad Street Southbridge,,,,,,,,,"VEGETABLES: Asparagus, Brassicas including Brussel Sprouts, Cabbage, Cauliflower, Kale, Pak-Choi; Celery, Carrots, Courgettes, Cucumber, Garlic, Green Beans, Ku",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
106,Three Oaks Farm,Farm,Organic certified operator,Certified-organic producer in Palmerston North.,"141, 201, 331, 355 Aranui Road and 555 Gillespies Line, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
107,Ti Kouka Farm,Farm,Organic certified operator,Certified-organic producer in Ngatimoti/Pangatotara.,"747 Motueka Valley Highway, Ngatimoti/Pangatotara",,Ngatimoti/Pangatotara,,,,,,,,,FRUIT: Pears; FEED: Pasture,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
108,Tory Channel Kelp Products,Farm,Organic certified operator,Certified-organic producer in Blenheim.,"Processing Depot: 29 Rene Street, Springlands, Blenheim",,Blenheim,,,,,,,,,"SEAWEED: Bladder Kelp (Macrcystis pyrifera), Japanese Kelp (Undaria pinnatifida)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
109,Totara Creek Farm,Farm,Organic certified operator,Certified-organic producer in Whangarei.,"237 Waikiekie North Road & 1260 Paparoa Oakleigh Road, Whangarei",,Whangarei,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Baleage and Maize)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
110,Tussock Hill Vineyard,Farm,Organic certified operator,Certified-organic producer in Waipara.,"Vineyards: 210 Huntsbury Avenue, Hillsborough, Christchurch; 232 Omihi Road, Waipara, Canterbury",,Waipara,Canterbury,,,,,,,,"WINE GRAPES: Chardonnay, Pinot Gris, Pinot Noir, Reisling, Sauvignon Blanc, Syrah",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
111,Wai Shing,Farm,Organic certified operator,Certified-organic producer in Pukekohe.,"194 Patumahoe Road and Sedgebrook Road, Pukekohe",,Pukekohe,,,,,,,,,"VEGETABLES: Squash, Broccoli, Silverbeet; FEED: Hay & Baleage",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
112,WD & SJ Cullen,Farm,Organic certified operator,Certified-organic producer in 0587.,"681 Mountain Road, RD12, Maungaturoto, 0587",,0587,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed Based (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
113,Whitfield Organics,Farm,Organic certified operator,Certified-organic producer in Parire Road block.,115 Mill Road block; Lawn Road blocks(5); Parire Road block,,Parire Road block,,,,,,,,,"VEGETABLES: Potatoes, Squash, Pumpkin (Butternut and Crown), Peas, and Carrot ; GRAIN: Maize, and Popcorn; FEED: Pasture based supplement feed, Lucerne, Hay and",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
114,Whitinga Farms,Farm,Organic certified operator,Certified-organic producer in Waitakaruru.,"505 Back Miranda Road & 190 SH25, Waitakaruru",,Waitakaruru,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay and Balage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
115,Wildwood Ranch,Farm,Organic certified operator,Certified-organic producer in Waihi.,"1157 Waihi Whangamata Road, Waihi",,Waihi,,,,,,,,,"BEEF: Live Cattle, NOP Animals for Meat; GRAZING: Dairy Heifer ; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
116,Wrights Vineyard and Winery,Farm,Organic certified operator,Certified-organic producer in Vineyard 161 Ormond Valley Road.,"Vineyard and Winery: 1093 Wharerata Road, Manutuki, Gisborne;  Vineyard: 232 Ormond Valley Road, Gisborne; Vineyard 161 Ormond Valley Road, Gisborne",,Vineyard 161 Ormond Valley Road,Gisborne,,,,,,,,"WINE GRAPES: Syrah, Sauvignon Blanc, Pinot Noir, Chardonnay, Pinot Gris, Zinfandel, Pinot Muenier, Semillon",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
117,A2 Nutritionals NZ,Vendor,Organic certified operator,Certified-organic producer in Pokeno.,"66 McDonald Road, Pokeno",,Pokeno,,,,,,,,,"Organic Nutritionals Base Powder stage 1, stage 2, stage 3, stage 4, and stage 5 & Infant Formula Powder. ; Contract Processing: Organic nutritional spray dried",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
118,Absolute Essential,Vendor,Organic certified operator,Certified-organic producer in Muriwai Beach.,"250 Oaia Road, Muriwai Beach, Auckland",,Muriwai Beach,Auckland,,,,,,,,Natural Health Care Products,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
119,Adamson's Apiary,Vendor,Organic certified operator,Certified-organic producer in Alexandra.,"151 McPherson Road, RD 1, Alexandra",,Alexandra,,,,,,,,,"BEE PRODUCTS: Thyme Honey, Thyme Honey with Polyflora, Clover Honey, Manuka Honey, Kamahi Honey, Multifloral Honey, Beeswax, Pollen, Propolis",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
120,Align Foods,Vendor,Organic certified operator,Certified-organic producer in Leeston.,"368 Kings Road, Leeston, New Zealand",,Leeston,,,,,,,,,Industrial Packs: Organic Thick & Creamy Yoghurt,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
121,Alpha Laboratories NZ,Vendor,Organic certified operator,Certified-organic producer in East Tamaki.,"48 Crooks Road; 46C & 46E Cryers Road, East Tamaki, Auckland",,East Tamaki,Auckland,,,,,,,,"Contract Processor: DAIRY: Formulated Milk Powder, Milk Powder",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
122,Australia & New Zealand Distillery,Vendor,Organic certified operator,Certified-organic producer in Temuka.,"73 Vine Street, Temuka, Canterbury",,Temuka,Canterbury,,,,,,,,TasteMaker. VINEGAR: Apple Cider Vinegar; Harvest Road. VINEGAR: Apple Cider Vinegar 10 litre and 1000 litre.,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
123,BeeNZ,Vendor,Organic certified operator,Certified-organic producer in Tauranga.,"85 Tetley Road, Katikati, Tauranga",,Tauranga,,,,,,,,,BEE PRODUCTS: Liquid and Creamed Honey (Bulk and Retail Packed) ; Contract Processor: BEE PRODUCTS: Liquid and Creamed Honey (Bulk and Retail Packed),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
